event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,event_date
2019-10-31 20:42:35+00:00,view,1004781,2053013555631882655,electronics.smartphone,huawei,254.71,530072793,1d426f4e-bf41-4d23-8d83-dcb98e863121,2019-10-31
2019-10-31 00:54:13+00:00,view,15300330,2053013552662315243,,kingston,9.33,513026219,c659bbc7-1d60-4bb6-9023-a8d25f535b35,2019-10-31
2019-10-31 04:53:33+00:00,view,17100383,2053013558349791811,,,169.86,522795376,d94ef6b9-d2d5-4407-bbfd-73d46092f57b,2019-10-31
2019-10-31 18:48:37+00:00,view,3300349,2053013555355058573,,redmond,72.05,515462719,fa6d921e-b2ec-4ce3-9cb2-ffe3fccc106d,2019-10-31
2019-10-31 02:04:13+00:00,view,17000037,2053013558391734853,computers.desktop,deluxe,90.8,544448628,3b86bda6-1ef4-43b1-b848-d5300b3b85bf,2019-10-31
2019-10-31 03:10:11+00:00,view,13104500,2053013553526341921,,wsp,386.11,512905367,efaed6a7-e08a-4d71-9ab8-e3c524e732e2,2019-10-31
2019-10-31 07:13:07+00:00,view,1801514,2053013554415534427,electronics.video.tv,haier,154.42,556923921,7646b601-be73-4b1f-a9a6-5ee18249979a,2019-10-31
2019-10-31 07:34:25+00:00,view,5701128,2053013553970938175,auto.accessories.player,,51.48,553989126,afa4ad98-52c3-4738-8604-8f666a49acc9,2019-10-31
2019-10-31 06:24:32+00:00,view,1002528,2053013555631882655,electronics.smartphone,apple,623.8,565997145,9cb1d8f4-d6b2-42ac-a847-613d0b1f9567,2019-10-31
2019-10-31 06:23:05+00:00,view,21407370,2053013561579406073,electronics.clocks,casio,162.17,554767271,3af277fc-856d-4180-95de-0f7378c7640d,2019-10-31
2019-10-31 03:01:09+00:00,view,50600057,2134905044833666047,auto.accessories.compressor,,109.34,530091068,fea2ebdf-9d4b-4e90-9d05-762ab49483e4,2019-10-31
2019-10-31 19:12:12+00:00,view,1005259,2053013555631882655,electronics.smartphone,umi,463.31,531398483,faeb4f9f-79cd-4f64-b693-bddc80d347c7,2019-10-31
2019-10-31 16:43:57+00:00,view,29900055,2059484601444729123,,peda,2331.85,514677817,d32db5de-f1af-4b4f-be37-898cc9fb1c3d,2019-10-31
2019-10-31 11:26:58+00:00,view,8902211,2053013553090134275,kids.toys,,29.19,559052401,914d19f4-0d5c-41ab-8d77-694e749e7b66,2019-10-31
2019-10-31 12:44:19+00:00,view,10600485,2053013561554240247,,matrol,154.02,537771931,f2eddbee-eacc-4269-85dd-cb94851a255f,2019-10-31
2019-10-31 19:05:50+00:00,view,42600236,2096280601366626625,,tundra,116.26,518503215,a8b5dacf-73d8-4251-9e0e-f8e85e463268,2019-10-31
2019-10-31 04:06:43+00:00,view,1003879,2053013555631882655,electronics.smartphone,huawei,540.27,551079123,72214a88-5c63-485c-ab5e-683244c21bb8,2019-10-31
2019-10-31 13:32:06+00:00,view,2700618,2053013563911439225,appliances.kitchen.refrigerators,indesit,350.0,562686163,69bbbde0-1bd1-4612-ab6e-4c39b1a75333,2019-10-31
2019-10-31 09:18:39+00:00,view,14701435,2053013557133443581,furniture.living_room.cabinet,,205.9,520744930,1ab6745f-155c-475e-9a9c-0f3155ea45eb,2019-10-31
2019-10-31 02:55:54+00:00,view,3700781,2053013565983425517,appliances.environment.vacuum,polaris,38.59,526519158,5315d559-5e81-4d51-a66e-a28d0c0c8a3c,2019-10-31
2019-10-31 09:59:34+00:00,view,12000324,2053013555438944659,,caramelia,48.65,517576358,7de58d1b-da22-4859-83b2-d8a73800dac8,2019-10-31
2019-10-31 17:33:10+00:00,view,1005104,2053013555631882655,electronics.smartphone,apple,977.3,566173110,7172448c-be96-4f61-b3a7-830e9881495b,2019-10-31
2019-10-31 08:38:36+00:00,view,2502287,2053013564003713919,appliances.kitchen.oven,asel,65.64,566042366,cc3c2d5d-e950-4c53-9d15-201dff404606,2019-10-31
2019-10-31 09:45:19+00:00,view,13000233,2053013561159975647,,rainbo,90.07,559485709,d67e7338-4075-452e-9ca4-743630c4fa18,2019-10-31
2019-10-31 14:52:12+00:00,view,1004650,2053013555631882655,electronics.smartphone,samsung,622.63,549695040,d8f0c324-da63-401d-8a66-ea378d81f1cb,2019-10-31
2019-10-31 16:39:19+00:00,view,1004777,2053013555631882655,electronics.smartphone,xiaomi,135.01,520482672,98c9461e-e5df-44e3-8c7e-75f604fe66e8,2019-10-31
